Description,City,State,Airline,lat,lon
"South Bend, IN: South Bend International",South Bend,IN,South Bend International,41.7008353,-86.3121986
"Barrow, AK: Wiley Post/Will Rogers Memorial",Barrow,AK,Wiley Post/Will Rogers Memorial,71.284909,-156.7663621
"Dayton, OH: James M Cox/Dayton International",Dayton,OH,James M Cox/Dayton International,39.9025242,-84.2217719
"King Salmon, AK: King Salmon Airport",King Salmon,AK,King Salmon Airport,58.676667,-156.649167
"Kahului, HI: Kahului Airport",Kahului,HI,Kahului Airport,20.8967924,-156.4329379
"Harrisburg, PA: Harrisburg International",Harrisburg,PA,Harrisburg International,40.1942375,-76.7576672
"Dubuque, IA: Dubuque Regional",Dubuque,IA,Dubuque Regional,42.3970919,-90.7056061
"Knoxville, TN: McGhee Tyson",Knoxville,TN,McGhee Tyson,35.810833,-83.993889
"Fort Smith, AR: Fort Smith Regional",Fort Smith,AR,Fort Smith Regional,35.3360061,-94.3668408
"Washington, DC: Ronald Reagan Washington National",Washington,DC,Ronald Reagan Washington National,38.851242,-77.0402315
"Missoula, MT: Missoula International",Missoula,MT,Missoula International,46.9188306,-114.0837639
"Tucson, AZ: Tucson International",Tucson,AZ,Tucson International,32.1145102,-110.9392269
"Albany, NY: Albany International",Albany,NY,Albany International,42.7487124,-73.8054981
"Savannah, GA: Savannah/Hilton Head International",Savannah,GA,Savannah/Hilton Head International,32.1294267,-81.2018521
"Ketchikan, AK: Ketchikan International",Ketchikan,AK,Ketchikan International,55.3554106,-131.7105604
"Traverse City, MI: Cherry Capital",Traverse City,MI,Cherry Capital,44.7369137,-85.5796208
"Harlingen/San Benito, TX: Valley International",Harlingen/San Benito,TX,Valley International,26.2239796,-97.6618154
"Philadelphia, PA: Philadelphia International",Philadelphia,PA,Philadelphia International,39.8743959,-75.2424229
"Las Vegas, NV: McCarran International",Las Vegas,NV,McCarran International,36.0839998,-115.1537389
"Valdosta, GA: Valdosta Regional",Valdosta,GA,Valdosta Regional,30.785034,-83.27651
"West Yellowstone, MT: Yellowstone",West Yellowstone,MT,Yellowstone,44.427963,-110.588455
"Butte, MT: Bert Mooney",Butte,MT,Bert Mooney,45.9545183,-112.4962555
"Waterloo, IA: Waterloo Regional",Waterloo,IA,Waterloo Regional,43.4642578,-80.5204096
"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",Baton Rouge,LA,Baton Rouge Metropolitan/Ryan Field,30.5323599,-91.151461
"Milwaukee, WI: General Mitchell International",Milwaukee,WI,General Mitchell International,42.9475534,-87.896646
"Elko, NV: Elko Regional",Elko,NV,Elko Regional,40.8278188,-115.786212
"Muskegon, MI: Muskegon County",Muskegon,MI,Muskegon County,43.294941,-86.1261055
"Burlington, VT: Burlington International",Burlington,VT,Burlington International,44.4706939,-73.1516037
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Dallas/Fort Worth,TX,Dallas/Fort Worth International,32.8998091,-97.0403352
"Wilmington, NC: Wilmington International",Wilmington,NC,Wilmington International,34.266805,-77.9103607
"Amarillo, TX: Rick Husband Amarillo International",Amarillo,TX,Rick Husband Amarillo International,35.2244473,-101.70516
"Buffalo, NY: Buffalo Niagara International",Buffalo,NY,Buffalo Niagara International,42.9397059,-78.7295067
"Texarkana, AR: Texarkana Regional-Webb Field",Texarkana,AR,Texarkana Regional-Webb Field,33.4568777,-93.9941485
"Omaha, NE: Eppley Airfield",Omaha,NE,Eppley Airfield,41.299734,-95.8994865
"Dothan, AL: Dothan Regional",Dothan,AL,Dothan Regional,31.3216557,-85.4524326
"Sacramento, CA: Sacramento International",Sacramento,CA,Sacramento International,38.6950854,-121.5900648
"Fort Wayne, IN: Fort Wayne International",Fort Wayne,IN,Fort Wayne International,40.9864749,-85.1879222
"Burbank, CA: Bob Hope",Burbank,CA,Bob Hope,31.7171241,-106.2660313
"Nome, AK: Nome Airport",Nome,AK,Nome Airport,64.5099347,-165.4435152
"Dickinson, ND: Dickinson - Theodore Roosevelt Regional",Dickinson,ND,Dickinson - Theodore Roosevelt Regional,46.8016664,-102.7928843
"Laredo, TX: Laredo International",Laredo,TX,Laredo International,,
"International Falls, MN: Falls International Einarson Field",International Falls,MN,Falls International Einarson Field,48.5663926,-93.397607
"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field",Santa Maria,CA,Santa Maria Public/Capt. G. Allan Hancock Field,34.8991411,-120.4477733
"Anchorage, AK: Ted Stevens Anchorage International",Anchorage,AK,Ted Stevens Anchorage International,61.1758863,-149.9900791
"Santa Ana, CA: John Wayne Airport-Orange County",Santa Ana,CA,John Wayne Airport-Orange County,33.6761901,-117.8674759
"Tulsa, OK: Tulsa International",Tulsa,OK,Tulsa International,36.198778,-95.8838659
"Tyler, TX: Tyler Pounds Regional",Tyler,TX,Tyler Pounds Regional,32.3511258,-95.4096293
"Monroe, LA: Monroe Regional",Monroe,LA,Monroe Regional,32.5101466,-92.0436835
"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",Lawton/Fort Sill,OK,Lawton-Fort Sill Regional,34.5726626,-98.4159133
"Ontario, CA: Ontario International",Ontario,CA,Ontario International,34.0559781,-117.598057
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Baltimore,MD,Baltimore/Washington International Thurgood Marshall,39.1774042,-76.6683922
"Kansas City, MO: Kansas City International",Kansas City,MO,Kansas City International,39.3006427,-94.7125937
"Hibbing, MN: Range Regional",Hibbing,MN,Range Regional,47.3921561,-92.8421461
"Dillingham, AK: Dillingham Airport",Dillingham,AK,Dillingham Airport,59.045941,-158.5044336
"Duluth, MN: Duluth International",Duluth,MN,Duluth International,46.8386505,-92.1800294
"Devils Lake, ND: Devils Lake Regional",Devils Lake,ND,Devils Lake Regional,,
"Mammoth Lakes, CA: Mammoth Lakes Airport",Mammoth Lakes,CA,Mammoth Lakes Airport,37.6244629,-118.8388538
"Jacksonville/Camp Lejeune, NC: Albert J Ellis",Jacksonville/Camp Lejeune,NC,Albert J Ellis,34.8295521,-77.6109114
"Wrangell, AK: Wrangell Airport",Wrangell,AK,Wrangell Airport,56.4850237,-132.3795998
"Lansing, MI: Capital Region International",Lansing,MI,Capital Region International,42.7750893,-84.5892334
"Rock Springs, WY: Rock Springs Sweetwater County",Rock Springs,WY,Rock Springs Sweetwater County,41.5874644,-109.2029043
"Huntsville, AL: Huntsville International-Carl T Jones Field",Huntsville,AL,Huntsville International-Carl T Jones Field,34.6403329,-86.7756899
"Laramie, WY: Laramie Regional",Laramie,WY,Laramie Regional,41.3201937,-105.6703447
"Gillette, WY: Gillette Campbell County",Gillette,WY,Gillette Campbell County,44.2910915,-105.5022205
"Garden City, KS: Garden City Regional",Garden City,KS,Garden City Regional,37.9268913,-100.7198703
"Los Angeles, CA: Los Angeles International",Los Angeles,CA,Los Angeles International,33.9415889,-118.40853
"Alpena, MI: Alpena County Regional",Alpena,MI,Alpena County Regional,45.0721958,-83.5635936
"Providence, RI: Theodore Francis Green State",Providence,RI,Theodore Francis Green State,41.7245271,-71.4304062
"Lubbock, TX: Lubbock Preston Smith International",Lubbock,TX,Lubbock Preston Smith International,33.6562701,-101.8209749
"Bozeman, MT: Bozeman Yellowstone International",Bozeman,MT,Bozeman Yellowstone International,45.77746,-111.160161
"Latrobe, PA: Arnold Palmer Regional",Latrobe,PA,Arnold Palmer Regional,40.2738018,-79.4070821
