,Code,Description,Airport,City,State,lat,lon,latlon,City_State
0,10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Lehigh Valley International,Allentown/Bethlehem/Easton,PA,40.6516504,-75.4347461,"(40.651650399999994, -75.434746099999984)",Allentown/Bethlehem/Easton (PA)
1,10136,"Abilene, TX: Abilene Regional",Abilene Regional,Abilene,TX,32.4487364,-99.7331439,"(32.448736400000001, -99.733143900000002)",Abilene (TX)
2,10140,"Albuquerque, NM: Albuquerque International Sunport",Albuquerque International Sunport,Albuquerque,NM,35.0433333,-106.6129085,"(35.0433333, -106.6129085)",Albuquerque (NM)
3,10141,"Aberdeen, SD: Aberdeen Regional",Aberdeen Regional,Aberdeen,SD,45.4534583,-98.4177261,"(45.453458300000001, -98.417726099999996)",Aberdeen (SD)
4,10146,"Albany, GA: Southwest Georgia Regional",Southwest Georgia Regional,Albany,GA,31.5356711,-84.1939049,"(31.535671100000002, -84.193904900000007)",Albany (GA)
5,10154,"Nantucket, MA: Nantucket Memorial",Nantucket Memorial,Nantucket,MA,41.2569516,-70.0637506,"(41.256951600000001, -70.063750599999992)",Nantucket (MA)
6,10155,"Waco, TX: Waco Regional",Waco Regional,Waco,TX,31.6086462,-97.2226498,"(31.608646199999999, -97.222649799999999)",Waco (TX)
7,10157,"Arcata/Eureka, CA: Arcata",Arcata,Arcata/Eureka,CA,40.8665166,-124.0828396,"(40.866516600000004, -124.0828396)",Arcata/Eureka (CA)
8,10158,"Atlantic City, NJ: Atlantic City International",Atlantic City International,Atlantic City,NJ,39.4513116,-74.5721964,"(39.451311600000004, -74.57219640000001)",Atlantic City (NJ)
9,10165,"Adak Island, AK: Adak",Adak,Adak Island,AK,51.88,-176.6580556,"(51.880000000000003, -176.65805559999998)",Adak Island (AK)
10,10170,"Kodiak, AK: Kodiak Airport",Kodiak Airport,Kodiak,AK,57.7543782,-152.51473,"(57.754378199999998, -152.51473000000001)",Kodiak (AK)
11,10185,"Alexandria, LA: Alexandria International",Alexandria International,Alexandria,LA,31.3267812,-92.5472399,"(31.326781199999999, -92.547239900000008)",Alexandria (LA)
12,10208,"Augusta, GA: Augusta Regional at Bush Field",Augusta Regional at Bush Field,Augusta,GA,33.4734978,-82.0105148,"(33.473497799999997, -82.010514799999996)",Augusta (GA)
13,10245,"King Salmon, AK: King Salmon Airport",King Salmon Airport,King Salmon,AK,58.6883251,-156.661351,"(58.688325100000007, -156.661351)",King Salmon (AK)
14,10257,"Albany, NY: Albany International",Albany International,Albany,NY,42.6525793,-73.7562317,"(42.652579299999992, -73.756231700000001)",Albany (NY)
15,10268,"Waterloo, IA: Waterloo Regional",Waterloo Regional,Waterloo,IA,42.492786,-92.3425775,"(42.492785999999995, -92.342577500000004)",Waterloo (IA)
16,10279,"Amarillo, TX: Rick Husband Amarillo International",Rick Husband Amarillo International,Amarillo,TX,35.2219971,-101.8312969,"(35.221997100000003, -101.8312969)",Amarillo (TX)
17,10299,"Anchorage, AK: Ted Stevens Anchorage International",Ted Stevens Anchorage International,Anchorage,AK,61.2180556,-149.9002778,"(61.2180556, -149.90027780000003)",Anchorage (AK)
18,10333,"Alpena, MI: Alpena County Regional",Alpena County Regional,Alpena,MI,45.0616794,-83.4327528,"(45.061679400000003, -83.432752799999989)",Alpena (MI)
19,10372,"Aspen, CO: Aspen Pitkin County Sardy Field",Aspen Pitkin County Sardy Field,Aspen,CO,39.1910983,-106.8175387,"(39.191098299999993, -106.81753870000001)",Aspen (CO)
20,10397,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Hartsfield-Jackson Atlanta International,Atlanta,GA,33.7489954,-84.3879824,"(33.748995399999998, -84.387982399999999)",Atlanta (GA)
21,10408,"Appleton, WI: Appleton International",Appleton International,Appleton,WI,44.2619309,-88.4153847,"(44.261930900000003, -88.415384700000004)",Appleton (WI)
22,10423,"Austin, TX: Austin - Bergstrom International",Austin - Bergstrom International,Austin,TX,30.267153,-97.7430608,"(30.267153000000004, -97.743060799999995)",Austin (TX)
23,10431,"Asheville, NC: Asheville Regional",Asheville Regional,Asheville,NC,35.5950581,-82.5514869,"(35.595058100000003, -82.5514869)",Asheville (NC)
24,10434,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",Wilkes Barre Scranton International,Scranton/Wilkes-Barre,PA,41.408969,-75.6624122,"(41.408968999999999, -75.662412199999991)",Scranton/Wilkes-Barre (PA)
