Code,Description,Airport,City,State,Region,lat,lon
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Lehigh Valley International,Allentown/Bethlehem/Easton,PA,Northeast,-75.4303505,40.6518213
10136,"Abilene, TX: Abilene Regional",Abilene Regional,Abilene,TX,South,-99.6793702397,32.40774375
10140,"Albuquerque, NM: Albuquerque International Sunport",Albuquerque International Sunport,Albuquerque,NM,West,-106.610967422,35.03766945
10141,"Aberdeen, SD: Aberdeen Regional",Aberdeen Regional,Aberdeen,SD,Midwest,-123.1363108,49.1839213
10146,"Albany, GA: Southwest Georgia Regional",Southwest Georgia Regional,Albany,GA,South,-84.1943525,31.5354523
10154,"Nantucket, MA: Nantucket Memorial",Nantucket Memorial,Nantucket,MA,Northeast,-70.0580358424,41.25579665
10155,"Waco, TX: Waco Regional",Waco Regional,Waco,TX,South,-122.7778189,50.33417
10157,"Arcata/Eureka, CA: Arcata",Arcata,Arcata/Eureka,CA,West,-124.0828399,40.866517
10158,"Atlantic City, NJ: Atlantic City International",Atlantic City International,Atlantic City,NJ,Northeast,-74.4336916633,39.3785173
10165,"Adak Island, AK: Adak",Adak,Adak Island,AK,West,40.069542,37.286255
10170,"Kodiak, AK: Kodiak Airport",Kodiak Airport,Kodiak,AK,West,-152.493611,57.7497222
10185,"Alexandria, LA: Alexandria International",Alexandria International,Alexandria,LA,South,65.8498154,31.5054538
10208,"Augusta, GA: Augusta Regional at Bush Field",Augusta Regional at Bush Field,Augusta,GA,South,-81.9650638098,33.37230205
10245,"King Salmon, AK: King Salmon Airport",King Salmon Airport,King Salmon,AK,West,-156.649386925,58.6753166
10257,"Albany, NY: Albany International",Albany International,Albany,NY,Northeast,-49.2180168349,-26.8686593
10268,"Waterloo, IA: Waterloo Regional",Waterloo Regional,Waterloo,IA,Midwest,-80.5217785,43.4655524
10279,"Amarillo, TX: Rick Husband Amarillo International",Rick Husband Amarillo International,Amarillo,TX,South,-101.701847126,35.21937225
10299,"Anchorage, AK: Ted Stevens Anchorage International",Ted Stevens Anchorage International,Anchorage,AK,West,-149.985337871,61.18097005
10333,"Alpena, MI: Alpena County Regional",Alpena County Regional,Alpena,MI,Midwest,-83.5599966584,45.07879025
10361,"Watertown, NY: Watertown International",Watertown International,Watertown,NY,Northeast,-76.021474,43.9935082
10372,"Aspen, CO: Aspen Pitkin County Sardy Field",Aspen Pitkin County Sardy Field,Aspen,CO,West,-106.867056164,39.22098345
10397,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Hartsfield-Jackson Atlanta International,Atlanta,GA,South,-84.4292710859,33.63779875
10408,"Appleton, WI: Appleton International",Appleton International,Appleton,WI,Midwest,-88.2589374869,44.2459558
