state,population
CA,39250017
TX,27862596
FL,20612439
NY,19745289
IL,12801539
PA,12784227
OH,11614373
GA,10310371
NC,10146788
MI,9928301
NJ,8944469
VA,8411808
WA,7288000
AZ,6931071
MA,6811779
TN,6651194
IN,6633053
MO,6093000
MD,6016447
WI,5778708
CO,5540545
MN,5519952
SC,4961119
AL,4863300
LA,4681666
KY,4436974
OR,4093465
OK,3923561
CT,3576452
IA,3134693
UT,3051217
MS,2988726
AR,2988248
NV,2940058
KS,2907289
NM,2081015
NE,1907116
WV,1831102
ID,1683140
HI,1428557
NH,1334795
ME,1331479
RI,1056426
MT,1042520
DE,952065
SD,865454
ND,757952
AK,741894
DC,681170
VT,624594
WY,585501
