state,flight-counts,population
AK,52818,741894.0
AL,51125,4863300.0
AR,35136,2988248.0
AZ,346252,6931071.0
CA,1218745,39250017.0
CO,479372,5540545.0
CT,40194,3576452.0
DC,226131,681170.0
DE,0,952065.0
FL,876232,20612439.0
GA,776731,10310371.0
HI,139771,1428557.0
IA,26662,3134693.0
ID,41820,1683140.0
IL,702984,12801539.0
IN,80890,6633053.0
KS,18848,2907289.0
KY,32139,4436974.0
LA,134153,4681666.0
MA,244294,6811779.0
MD,191278,6016447.0
ME,13782,1331479.0
MI,287494,9928301.0
MN,261571,5519952.0
MO,201933,6093000.0
MS,21839,2988726.0
MT,34051,1042520.0
NC,316300,10146788.0
ND,26867,757952.0
NE,42489,1907116.0
NH,13444,1334795.0
NJ,242165,8944469.0
NM,42583,2081015.0
NV,323313,2940058.0
NY,495827,19745289.0
OH,175462,11614373.0
OK,62857,3923561.0
OR,134674,4093465.0
PA,213425,12784227.0
PR,59408,
RI,25060,1056426.0
SC,64945,4961119.0
SD,16337,865454.0
TN,159523,6651194.0
TT,976,
TX,1041128,27862596.0
UT,218147,3051217.0
VA,66199,8411808.0
VI,12035,
VT,8150,624594.0
WA,283837,7288000.0
WI,103489,5778708.0
WV,5194,1831102.0
WY,17507,585501.0
